,date,state,abbrev,population,positive,active,probableCases,totalTestResultsSource,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,bedsPerThousand,total_beds
48,2020-10-19,Wisconsin,WI,5851754,183142.0,44615.0,9251.0,posNeg,1090.0,9319.0,284.0,,136910.0,A+,10/19/2020 00:00,2020-10-19T00:00:00Z,10/18 20:00,1617.0,9319.0,,,,173891.0,1600.0,17.0,,1877704.0,,,,,,,,,,,0,0,0,0,0,,2.1,12288.6834
49,2020-10-19,West Virginia,WV,1778070,20293.0,5095.0,965.0,posNeg,177.0,,67.0,26.0,14799.0,B,10/18/2020 23:59,2020-10-18T23:59:00Z,10/18 19:59,399.0,,687025.0,,,19328.0,395.0,4.0,,,18733.0,,,,,,,,,,0,0,0,0,0,,3.8,6756.665999999999
50,2020-10-19,Wyoming,WY,567025,9311.0,2458.0,1387.0,posNeg,68.0,364.0,,,6796.0,B,10/19/2020 16:57,2020-10-19T16:57:00Z,10/19 12:57,57.0,364.0,208990.0,7105.0,201884.0,7924.0,,,,116091.0,,,,,,,,,,,0,0,0,0,0,,3.5,1984.5874999999999
51,2020-10-18,Alaska,AK,734002,12016.0,5461.0,,totalTestsViral,73.0,,,11.0,6488.0,A,10/18/2020 03:59,2020-10-18T03:59:00Z,10/17 23:59,67.0,,532711.0,10729.0,521666.0,12016.0,67.0,,,,,,,,,,,,,,0,0,0,0,0,,2.2,1614.8044
52,2020-10-18,Alabama,AL,4908621,172626.0,95600.0,21099.0,totalTestsViral,823.0,18855.0,,,74238.0,A,10/18/2020 11:00,2020-10-18T11:00:00Z,10/18 07:00,2788.0,18855.0,1253896.0,,,151527.0,2620.0,168.0,,,,,,61573.0,,,,,,,0,0,0,0,0,,3.1,15216.725100000001
53,2020-10-18,Arkansas,AR,3038999,99066.0,8912.0,5710.0,totalTestsViral,565.0,6315.0,241.0,96.0,88450.0,A+,10/18/2020 00:00,2020-10-18T00:00:00Z,10/17 20:00,1704.0,6315.0,1215944.0,,1122588.0,93356.0,1552.0,152.0,,,,,,,,,35634.0,6308.0,21856.0,3300.0,0,0,0,0,0,,3.2,9724.7968
54,2020-10-18,Arizona,AZ,7378494,231149.0,186938.0,5187.0,totalTestsPeopleViral,714.0,20640.0,176.0,85.0,38384.0,A+,10/18/2020 00:00,2020-10-18T00:00:00Z,10/17 20:00,5827.0,20640.0,,,,225962.0,5541.0,286.0,,1631023.0,308189.0,,,,,,,,,,0,0,0,0,0,,1.9,14019.138599999998
55,2020-10-18,California,CA,39937489,867317.0,850374.0,,totalTestsViral,3020.0,,727.0,,0.0,B,10/18/2020 02:59,2020-10-18T02:59:00Z,10/17 22:59,16943.0,,16892062.0,,,867317.0,,,,,,,,,,,,,,,0,0,0,0,0,,1.8,71887.4802
56,2020-10-18,Colorado,CO,5845526,84369.0,75200.0,5800.0,totalTestEncountersViral,428.0,8217.0,,,7127.0,A,10/17/2020 01:59,2020-10-17T01:59:00Z,10/16 21:59,2042.0,8217.0,,,,78569.0,,,1668053.0,1069977.0,176495.0,12492.0,164003.0,,,,,,,,0,0,0,0,0,,1.9,11106.499399999999
57,2020-10-18,Connecticut,CT,3563077,62830.0,48637.0,2521.0,posNeg,184.0,12043.0,,,9651.0,B,10/15/2020 20:30,2020-10-15T20:30:00Z,10/15 16:30,4542.0,12043.0,1965112.0,,,60309.0,3641.0,901.0,,,,,,,,,,,,,0,0,0,0,0,,2.0,7126.154
